"V1"	"V2"	"V3"
"1094"	11081	799	14166
"1095"	13254	2831	10971
"1096"	915	7745	1913
"1097"	1748	14918	10908
"1098"	10149	2720	12205
"1099"	4710	9101	9898
"1100"	8631	7419	8630
"1101"	13382	15366	13654
"1102"	15457	195	2715
"1103"	3649	136	3539
"1104"	38	1214	13189
"1105"	7222	4092	14476
"1106"	16046	5081	13061
"1107"	14984	9934	9844
"1108"	13382	15366	13654
"1109"	14201	9389	1558
"1110"	312	177	5976
"1111"	589	9887	3085
"1112"	5439	6117	14621
"1113"	15805	14018	14010
"1114"	13245	15736	7243
"1115"	5	671	691
"1116"	14984	551	9934
"1117"	3024	1390	1090
"1118"	14633	15123	13732
"1119"	1091	2715	11833
"1120"	1818	7735	456
"1121"	5	671	691
"1122"	14633	15457	13444
"1123"	11961	8312	14496
"1124"	1210	2093	978
"1125"	13779	13662	15841
"1126"	5135	9787	14422
"1127"	12478	8707	9005
"1128"	5896	1510	5756
"1129"	14984	12478	8707
"1130"	2572	6655	10928
"1131"	551	5760	11373
"1132"	3510	16780	2477
"1133"	14480	13926	9642
"1134"	4710	9101	9898
"1135"	11364	4101	10025
"1136"	12619	3743	8836
"1137"	16076	10413	7382
"1138"	16076	10413	9480
"1139"	12572	4809	4837
"1140"	1818	6795	6294
"1141"	11933	10617	3027
"1142"	8994	15944	16430
"1143"	1825	5305	6411
"1144"	2126	1105	1175
"1145"	16082	3925	15945
"1146"	15115	11640	7745
"1147"	2483	1732	7931
"1148"	14982	16068	14430
"1149"	14984	2351	8419
"1150"	2546	9408	8989
"1151"	14984	9934	9844
"1152"	10542	15295	4344
"1153"	551	11373	16185
"1154"	312	5976	177
"1155"	8631	7419	4478
"1156"	9134	1091	7994
"1157"	2072	8945	846
"1158"	7329	1365	5034
"1159"	3391	12646	9545
"1160"	1999	8663	10003
"1161"	1682	1896	10418
"1162"	4984	2293	1904
"1163"	11551	15912	14610
"1164"	4837	11915	5662
"1165"	484	15	3126
"1166"	1116	344	9468
"1167"	3228	6431	15468
"1168"	1176	1054	8724
"1169"	1951	4973	2152
"1170"	381	10967	15257
"1171"	2715	11833	5743
"1172"	4381	8449	5242
"1173"	3315	7363	7271
"1174"	1792	13905	8517
"1175"	7070	1553	4091
"1176"	12572	5775	15387
"1177"	7931	13789	13670
"1178"	14822	4	1651
"1179"	10631	2697	6372
"1180"	4984	2293	13652
"1181"	1415	1116	4615
"1182"	8631	7419	9633
"1183"	14598	6147	12508
"1184"	14984	9934	9844
"1185"	284	629	756
"1186"	1792	8592	13905
"1187"	2577	9709	10513
"1188"	16294	15484	15947
"1189"	2572	12240	10985
"1190"	1175	1204	98
"1191"	8650	7681	6660
"1192"	62	6652	3391
"1193"	227	3495	6322
"1194"	8994	15944	5082
"1195"	4710	9898	9101
"1196"	5135	9787	14422
"1197"	4456	9654	9768
"1198"	11425	4392	2074
"1199"	329	5712	1176
"1200"	3391	4753	12866
"1201"	13245	15736	7243
"1202"	7222	4092	12301
"1203"	12478	8707	1
"1204"	13382	13654	13703
"1205"	3584	273	271
"1206"	10985	4504	16817
"1207"	12416	10168	13538
"1208"	6	488	1680
"1209"	9570	3553	2021
"1210"	6795	8532	4376
"1211"	4281	1343	1346
"1212"	3415	5268	7467
"1213"	6722	1503	14545
"1214"	13382	15366	13654
"1215"	1825	9806	1091
"1216"	9142	6851	5409
"1217"	12416	10168	10038
"1218"	4456	9654	9768
"1219"	12416	10168	16274
"1220"	6614	1764	6954
"1221"	1116	14610	15912
"1222"	9608	8916	10379
"1223"	2715	11833	8234
"1224"	889	1927	3656
"1225"	10914	11441	10619
"1226"	12478	8707	936
"1227"	9101	9898	4710
"1228"	5874	9654	4456
"1229"	402	312	756
"1230"	10542	2222	1214
"1231"	5305	6411	3090
"1232"	8311	13490	14944
"1233"	10631	2697	6372
"1234"	13288	11916	15424
"1235"	9600	4487	6117
"1236"	14166	11418	8400
"1237"	7382	7573	8719
"1238"	3391	12866	1580
"1239"	3391	12866	10846
"1240"	4911	3089	13806
"1241"	9363	16237	14868
"1242"	14984	551	9934
"1243"	15	24	23
"1244"	9244	1612	14871
"1245"	3584	271	4114
"1246"	16076	10413	12619
"1247"	8592	1792	13905
"1248"	3510	16780	7764
"1249"	14496	2477	14252
"1250"	9456	7461	11724
"1251"	13516	8419	15693
"1252"	3649	3539	8939
"1253"	9015	344	9468
"1254"	1365	7329	5034
"1255"	14984	9934	1116
"1256"	10542	4344	15295
"1257"	16046	12054	9758
"1258"	13382	15366	12479
"1259"	10696	184	13444
"1260"	14166	16938	2698
"1261"	14633	13732	15123
"1262"	858	7379	8602
"1263"	16046	889	1949
"1264"	8870	8868	3259
"1265"	2247	1932	7492
"1266"	5046	6662	5486
"1267"	312	5976	177
"1268"	3024	1390	13579
"1269"	312	5976	4541
"1270"	16517	10180	9244
"1271"	5081	13061	12697
"1272"	551	5135	11373
"1273"	8631	7419	6272
"1274"	1343	14631	2307
"1275"	10928	6655	480
"1276"	16926	8769	2604
"1277"	3415	7801	522
"1278"	13061	7745	5081
"1279"	15676	9276	14566
"1280"	3584	271	4236
"1281"	14944	2446	8311
"1282"	8532	6795	4376
"1283"	15841	1450	1233
"1284"	13245	15736	7243
"1285"	3649	3539	2546
"1286"	14633	15123	13732
"1287"	4710	9101	9898
"1288"	1951	4973	5821
"1289"	1054	1176	7280
"1290"	10166	3521	2126
"1291"	16046	3982	747
"1292"	9656	14412	3678
"1293"	9608	14171	8916
"1294"	12868	1	11145
"1295"	14633	15123	13732
"1296"	1200	12868	1
"1297"	3391	12866	1006
"1298"	2504	14698	14285
"1299"	7745	5792	1449
"1300"	1792	13905	8592
"1301"	29	484	15
"1302"	6660	9563	3550
"1303"	3330	15297	15440
"1304"	312	5976	177
"1305"	3391	12866	16980
"1306"	3510	7421	16354
"1307"	16076	10413	10985
"1308"	1343	1346	14631
"1309"	10542	15295	4344
"1310"	16046	12479	6291
"1311"	16294	15484	15947
"1312"	10696	184	16046
"1313"	4984	2293	6630
"1314"	12479	13772	6291
"1315"	14389	9355	12479
"1316"	2324	2550	1052
"1317"	4837	8442	12232
"1318"	5416	11576	11175
"1319"	11604	2991	381
"1320"	10486	7314	13552
"1321"	10928	6655	2572
"1322"	1932	1927	10624
"1323"	6795	4376	5523
"1324"	5874	4456	9768
"1325"	8724	1054	1176
"1326"	7130	11933	7301
"1327"	1825	9806	1091
"1328"	7329	5034	3676
"1329"	5000	5258	12898
"1330"	13460	16962	16317
"1331"	11364	4101	10025
"1332"	3415	7801	10542
"1333"	551	11373	5760
"1334"	799	11081	7343
"1335"	8831	8126	15590
"1336"	4837	594	12232
"1337"	14480	13926	9642
"1338"	11364	4101	10025
"1339"	7382	7573	10939
"1340"	3228	5874	9654
"1341"	7822	3228	4108
"1342"	8159	3982	3415
"1343"	2546	7899	9408
"1344"	5305	6411	16042
"1345"	11918	4858	9515
"1346"	10050	15073	10506
"1347"	1999	14339	8663
"1348"	12572	2506	14003
"1349"	14496	2477	14252
"1350"	14289	16240	8310
"1351"	16294	15484	15947
"1352"	9134	7994	3439
"1353"	14018	15805	14010
"1354"	3678	14412	9656
"1355"	10177	10928	6655
"1356"	14285	3369	2504
"1357"	2899	4984	3510
"1358"	2504	14285	14698
"1359"	8870	8868	3259
"1360"	14166	16938	8538
"1361"	10486	7314	15599
"1362"	12538	15551	13837
"1363"	10696	184	13444
"1364"	508	14088	3178
"1365"	5439	6117	11539
"1366"	5332	4832	7122
"1367"	2572	2504	14698
"1368"	15958	15783	4879
"1369"	15988	5914	5953
"1370"	2225	6097	7761
"1371"	10542	3024	3415
"1372"	12639	10934	9615
"1373"	7745	5792	6540
"1374"	177	312	5976
"1375"	13061	5081	1875
"1376"	15988	5914	7755
"1377"	502	12319	16636
"1378"	7301	11933	3027
"1379"	10542	4344	15295
"1380"	13172	13722	16076
"1381"	8994	15944	11628
"1382"	16185	227	3429
"1383"	685	687	5490
"1384"	9608	10379	8916
"1385"	16046	2072	8945
"1386"	12508	14598	6147
"1387"	4639	133	404
"1388"	14633	13732	15123
"1389"	13245	15736	7243
"1390"	14984	9934	1825
"1391"	248	454	16046
"1392"	13460	9626	12291
"1393"	9509	136	13490
"1394"	15676	5311	9276
"1395"	2504	14698	14285
"1396"	121	3649	3539
"1397"	16185	227	3429
"1398"	685	687	8583
"1399"	7745	2264	5792
"1400"	799	7343	11081
"1401"	3446	9633	6581
"1402"	12054	9812	6016
"1403"	13779	14041	12479
"1404"	2584	8545	6831
"1405"	7735	1818	10766
"1406"	11081	799	7343
"1407"	5311	9965	12332
"1408"	6795	8532	4376
"1409"	10166	3521	10498
"1410"	5	671	691
"1411"	8814	8631	12317
"1412"	14984	9934	10870
"1413"	7497	7492	3586
"1414"	7613	14840	8613
"1415"	14389	9355	13680
"1416"	14633	15123	8421
"1417"	14608	10679	9028
"1418"	4386	5439	6117
"1419"	13245	15736	7243
"1420"	1116	12121	14213
"1421"	4541	1455	312
"1422"	9042	11541	12692
"1423"	5874	9768	4456
"1424"	2920	4837	15457
"1425"	5874	4456	9654
"1426"	1792	8592	8517
"1427"	4456	9654	9768
"1428"	16294	15484	15947
"1429"	14834	12968	2330
"1430"	1046	441	12840
"1431"	7222	4092	5162
"1432"	12866	3391	16980
"1433"	4615	6795	4376
"1434"	13061	1875	12697
"1435"	10985	4559	7070
"1436"	551	3982	11918
"1437"	11330	11830	11074
"1438"	13245	15736	10410
"1439"	551	11373	14088
"1440"	6965	14608	4376
"1441"	13652	2483	1732
"1442"	4615	14610	15912
"1443"	9616	2899	7232
"1444"	14633	11756	719
"1445"	10985	16817	5162
"1446"	2760	11961	336
"1447"	1013	9886	989
"1448"	8994	15944	4186
"1449"	1200	16046	1204
"1450"	1765	1396	3924
"1451"	3415	7801	13471
"1452"	1748	14918	9818
"1453"	14246	16141	16193
"1454"	14984	9934	9844
"1455"	3415	7801	454
"1456"	3923	9884	10323
"1457"	1415	4615	5305
"1458"	1825	9806	10696
"1459"	10928	6655	480
"1460"	9169	2093	1499
"1461"	9616	2899	7232
"1462"	1046	2481	1732
"1463"	10542	7099	6016
"1464"	13722	13172	720
"1465"	13382	15366	12479
"1466"	10985	3391	16817
"1467"	6581	9633	10916
"1468"	1682	1896	10418
"1469"	227	16185	3429
"1470"	12968	14834	4366
"1471"	2126	4487	3645
"1472"	14088	11679	508
"1473"	799	7343	11081
"1474"	2324	1052	14109
"1475"	2546	12639	3569
"1476"	7745	5792	1449
"1477"	13382	15366	13654
"1478"	4114	271	3584
"1479"	3510	16354	7421
"1480"	1010	12083	6843
"1481"	10945	381	2468
"1482"	7745	5792	6193
"1483"	989	1013	9552
"1484"	7130	3027	9884
"1485"	16185	5439	3429
"1486"	8631	6272	7419
"1487"	2907	12641	2136
"1488"	10696	13444	184
"1489"	14633	13732	15123
"1490"	989	1013	536
"1491"	12619	3743	8836
"1492"	8543	11330	11830
"1493"	12478	8707	1116
"1494"	12619	3743	8836
"1495"	4351	4911	13806
"1496"	15	29	3
"1497"	4478	1675	978
"1498"	653	16234	9625
"1499"	781	3649	12639
"1500"	685	768	2945
"1501"	14944	858	7379
"1502"	2715	7349	11833
"1503"	5268	2126	3024
"1504"	14984	9934	12478
"1505"	1323	7931	478
"1506"	1632	1539	1651
"1507"	7222	4092	14476
"1508"	5000	7766	8823
"1509"	4298	13818	4227
"1510"	6795	4376	5523
"1511"	14984	9934	9844
"1512"	5081	5576	13061
"1513"	9608	10379	10993
"1514"	7363	7271	3315
"1515"	1054	8724	7280
"1516"	15676	9276	14566
"1517"	3924	5337	46
"1518"	883	193	2955
"1519"	3415	11587	7801
"1520"	12478	8707	3866
"1521"	2504	14285	14698
"1522"	14984	1651	1668
"1523"	12478	8707	14166
"1524"	1951	1680	20
"1525"	11756	719	2188
"1526"	11604	2991	10878
"1527"	594	8442	4837
"1528"	14496	2477	14252
"1529"	3415	7801	13444
"1530"	4456	9768	9654
"1531"	4887	9042	11541
"1532"	1951	4973	9570
"1533"	4517	6563	6940
"1534"	756	284	3649
"1535"	14984	10050	2376
"1536"	14978	8631	7419
"1537"	12619	3743	98
"1538"	8419	10772	13546
"1539"	4456	2188	9654
"1540"	14944	8311	13490
"1541"	15599	14463	9903
"1542"	858	7379	4478
"1543"	16076	10413	10021
"1544"	14984	12478	8707
"1545"	3649	13299	3539
"1546"	1054	7280	9717
"1547"	14633	15123	13732
"1548"	13382	15366	12479
"1549"	13490	2451	8311
"1550"	15457	195	5195
"1551"	16046	12478	8707
"1552"	13382	15366	12479
"1553"	7746	284	756
"1554"	8318	787	13680
"1555"	777	7284	3649
"1556"	11604	1792	13905
"1557"	1	12868	11145
"1558"	5305	6411	3090
"1559"	1951	1764	6614
"1560"	5311	2212	9965
"1561"	4837	12232	13271
"1562"	3330	9142	15297
"1563"	3228	1176	1054
"1564"	12639	10934	11115
"1565"	4710	9101	9898
"1566"	10985	16817	14480
"1567"	1682	1896	12958
"1568"	858	7379	14944
"1569"	1046	441	12840
"1570"	9633	10916	6581
"1571"	3415	7801	10444
"1572"	13638	2716	15457
"1573"	13722	13172	720
"1574"	284	756	7746
"1575"	12479	6291	13702
"1576"	7497	7492	8569
"1577"	14633	13732	15123
"1578"	14984	227	9934
"1579"	404	1919	1461
"1580"	883	2955	193
"1581"	12866	1539	48
"1582"	184	10696	823
"1583"	4984	2293	6630
"1584"	3391	12866	2093
"1585"	16294	15484	9788
"1586"	8994	15944	11628
"1587"	13527	13061	12697
"1588"	2241	1204	1803
"1589"	7492	7497	8569
"1590"	9608	8916	10379
"1591"	1013	9886	2324
"1592"	16046	2572	5135
"1593"	15484	16294	10590
"1594"	1116	7994	3439
"1595"	3391	685	1241
"1596"	2072	8945	10219
"1597"	7735	9812	12054
"1598"	16046	28	484
"1599"	15805	4298	13990
"1600"	2293	4984	918
"1601"	312	177	5976
"1602"	13779	13756	4368
"1603"	11833	2715	8234
"1604"	9142	11900	5409
"1605"	2831	3935	7673
"1606"	14984	9934	16076
"1607"	4101	11364	667
"1608"	5258	12898	9921
"1609"	1176	1054	7280
"1610"	4985	1224	9134
"1611"	14944	8311	13490
"1612"	4351	3089	4911
"1613"	28	23	6614
"1614"	16237	9363	14868
"1615"	1951	4973	4408
"1616"	3415	7801	2715
"1617"	1932	1927	3656
"1618"	16076	10413	9363
"1619"	1748	14918	9818
"1620"	13172	7403	12054
"1621"	15297	15440	3330
"1622"	13460	16962	10642
"1623"	10928	6655	14984
"1624"	4478	11311	6687
"1625"	8543	11830	11330
"1626"	14944	2446	136
"1627"	2483	13652	1732
"1628"	13416	15468	2848
"1629"	8814	8631	12348
"1630"	10696	184	13444
"1631"	15676	9276	14566
"1632"	15386	7256	6472
"1633"	13756	4368	9154
"1634"	11933	3027	7301
"1635"	756	2446	1402
"1636"	5439	4386	6117
"1637"	16319	15325	1539
"1638"	4837	858	7379
"1639"	9768	9654	4456
"1640"	1825	9806	1828
"1641"	14610	16166	4589
"1642"	671	691	10967
"1643"	14978	6660	9563
"1644"	6965	6795	4376
"1645"	12538	13837	15551
"1646"	14984	9934	9844
"1647"	14480	13926	9642
"1648"	8870	8868	3259
"1649"	6843	9552	12395
"1650"	12315	12446	11963
"1651"	10050	15073	11888
"1652"	2758	9021	8942
"1653"	551	11373	16936
"1654"	2715	11833	8154
"1655"	15457	195	2715
"1656"	14285	14698	2504
"1657"	16185	3429	6322
"1658"	28	1795	11057
"1659"	13382	15366	13654
"1660"	9244	1612	1006
"1661"	858	7379	1756
"1662"	9142	6851	5409
"1663"	7329	5034	3676
"1664"	121	3982	11961
"1665"	38	2222	1214
"1666"	823	8318	787
"1667"	671	691	5
"1668"	7382	16076	10413
"1669"	8543	11830	11330
"1670"	14166	6660	5645
"1671"	2550	1052	14109
"1672"	685	4307	687
"1673"	3649	8939	3539
"1674"	16046	11139	3510
"1675"	13490	2451	2136
"1676"	823	6391	9591
"1677"	13382	15366	13654
"1678"	14984	9934	9844
"1679"	312	177	5976
"1680"	16294	14886	15484
"1681"	2758	8942	9021
"1682"	756	2126	284
"1683"	38	1214	2222
"1684"	16076	551	10413
"1685"	16076	10413	10021
"1686"	12639	10934	5760
"1687"	15457	195	4955
"1688"	12478	8707	12446
"1689"	11364	4101	10025
"1690"	2711	11572	9576
"1691"	11961	8312	2942
"1692"	14989	15805	14716
"1693"	13460	16962	11364
"1694"	14389	9355	5812
"1695"	11081	2903	799
"1696"	12641	2907	2136
"1697"	11364	4101	10025
"1698"	8543	11830	15425
"1699"	2888	2879	8483
"1700"	7222	4092	4589
"1701"	616	756	9967
"1702"	16166	14610	15599
"1703"	8814	8631	4605
"1704"	6795	4376	8532
"1705"	1176	1054	7280
"1706"	24	1628	14201
"1707"	3391	12866	9169
"1708"	2126	1105	2225
"1709"	6684	12989	10003
"1710"	7931	6799	5896
"1711"	14480	13926	9642
"1712"	5896	1510	5756
"1713"	1558	4487	3645
"1714"	907	11961	13299
"1715"	1204	3189	11364
"1716"	2831	3935	3925
"1717"	8870	8868	3259
"1718"	12478	8707	1605
"1719"	8631	7419	6272
"1720"	12619	3743	8836
"1721"	5332	4832	7122
"1722"	14496	11081	2477
"1723"	10542	14984	7559
"1724"	799	11081	7343
"1725"	1551	1	12868
"1726"	9887	589	626
"1727"	5046	6662	5486
"1728"	15841	1450	1233
"1729"	15944	8994	14627
"1730"	11311	15524	6687
"1731"	7382	12478	7573
"1732"	7497	7492	5984
"1733"	64	65	1500
"1734"	16076	10413	9142
"1735"	6795	5523	10868
"1736"	1116	12121	2715
"1737"	2758	8942	9021
"1738"	454	978	3415
"1739"	7448	1204	5268
"1740"	5477	5540	8150
"1741"	312	177	5976
"1742"	1792	8592	13905
"1743"	1503	8247	6721
"1744"	3024	13579	1390
"1745"	16046	10696	184
"1746"	12478	8707	1630
"1747"	14984	9934	9844
"1748"	6431	2848	15468
"1749"	11833	2715	8234
"1750"	184	10696	12478
"1751"	10696	184	2715
"1752"	13288	11667	11916
"1753"	1204	1748	14918
"1754"	14633	15123	13732
"1755"	13959	7382	685
"1756"	4710	8189	9101
"1757"	1682	1010	10418
"1758"	12868	1	11145
"1759"	14984	9934	10542
"1760"	9142	12892	16237
"1761"	14289	3279	1628
"1762"	11425	2074	4392
"1763"	1116	12121	10413
"1764"	14608	3510	2142
"1765"	4487	3645	7279
"1766"	799	11081	8483
"1767"	284	7746	756
"1768"	8631	7419	8748
"1769"	9608	14171	10379
"1770"	7745	5792	1449
"1771"	11961	8312	5006
"1772"	227	16185	3429
"1773"	9570	3553	2021
"1774"	10696	184	13444
"1775"	5311	9965	12332
"1776"	9616	2899	7232
"1777"	14633	13732	15123
"1778"	9608	10379	10993
"1779"	14633	13732	15123
"1780"	11756	719	2188
"1781"	2324	2550	16926
"1782"	2572	12240	10928
"1783"	9654	4456	9768
"1784"	14633	15123	13732
"1785"	1214	2222	38
"1786"	1825	1150	7931
"1787"	28	486	3934
"1788"	10542	4344	13172
"1789"	14984	9934	9844
"1790"	8318	13680	787
"1791"	12416	9880	10168
"1792"	12054	6016	9812
"1793"	7681	5645	9563
"1794"	4478	978	3776
"1795"	5439	6117	14621
"1796"	551	594	8898
"1797"	2126	9654	4456
"1798"	11364	4101	1210
"1799"	5135	11604	9787
"1800"	12478	8707	2222
"1801"	10696	184	13444
"1802"	3584	271	4114
"1803"	14834	12968	4366
"1804"	10050	15073	2376
"1805"	11961	8312	5006
"1806"	227	6322	3429
"1807"	8994	15944	7382
"1808"	2126	5874	9654
"1809"	15891	16960	10551
"1810"	7745	5792	6193
"1811"	9600	5439	14984
"1812"	4281	1343	3415
"1813"	2307	6618	15457
"1814"	7256	6472	13496
"1815"	6986	14984	16477
"1816"	9468	344	14166
"1817"	14984	1010	3935
"1818"	16076	10413	3391
"1819"	1	12868	11145
"1820"	2831	3935	14479
"1821"	16220	5081	13061
"1822"	13382	15366	12479
"1823"	1951	1680	13273
"1824"	11933	3027	9884
"1825"	14984	1091	9934
"1826"	1006	1612	14984
"1827"	685	687	8583
"1828"	14984	9934	10870
"1829"	1	12868	11145
"1830"	10166	3521	13245
"1831"	6	15	5034
"1832"	5268	3228	110
"1833"	24	1201	484
"1834"	4985	1748	5124
"1835"	13245	15736	7243
"1836"	14633	15123	13732
"1837"	16076	10413	15708
"1838"	1010	2241	9393
"1839"	4985	9142	1224
"1840"	14631	1343	1346
"1841"	9608	10379	8916
"1842"	2483	1732	10491
"1843"	7363	7271	3315
"1844"	2222	12248	38
"1845"	1748	14918	9818
"1846"	10542	4344	15295
"1847"	14166	5135	9787
"1848"	14633	15123	13732
"1849"	5332	508	14088
"1850"	8592	1792	13905
"1851"	14984	9934	9844
"1852"	1792	13905	1085
"1853"	1503	8247	6721
"1854"	1748	14918	9818
"1855"	14166	6905	11418
"1856"	4971	1552	1589
"1857"	13207	14774	9319
"1858"	11126	4658	9862
"1859"	6684	12989	1071
"1860"	1886	8777	14856
"1861"	14984	9934	9844
"1862"	883	193	2955
"1863"	14984	9934	9844
"1864"	3818	683	8844
"1865"	1010	344	978
"1866"	5305	11830	8543
"1867"	4456	9768	9654
"1868"	2188	11756	719
"1869"	12356	15599	685
"1870"	14633	13732	15123
"1871"	8631	7419	8630
"1872"	2715	11833	8234
"1873"	4837	756	8442
"1874"	9456	7461	2552
"1875"	5	671	691
"1876"	7382	7573	10939
"1877"	12315	15081	12478
"1878"	1651	14822	16240
"1879"	12454	482	484
"1880"	1932	1927	10624
"1881"	12479	2715	11833
"1882"	7492	7497	858
"1883"	5874	4456	9654
"1884"	11604	9570	3553
"1885"	14984	12416	551
"1886"	11756	719	2188
"1887"	4487	3645	7279
"1888"	3391	12866	2247
"1889"	2715	11833	7349
"1890"	1818	10899	7735
"1891"	7931	11604	13670
"1892"	13382	15366	12479
"1893"	3415	7801	14389
"1894"	484	28	11786
"1895"	4517	6563	6940
"1896"	4351	3089	4911
"1897"	12479	7363	6291
"1898"	2504	629	14698
"1899"	1455	402	312
"1900"	2572	10928	6655
"1901"	5874	9654	4456
"1902"	1630	9244	12478
"1903"	13722	13172	7984
"1904"	14984	9934	6
"1905"	6687	11311	1408
"1906"	6614	2307	1101
"1907"	12619	3743	14984
"1908"	16059	15319	2494
"1909"	16046	9887	589
"1910"	1690	9142	6851
"1911"	329	5712	2324
"1912"	1951	1764	4973
"1913"	14783	4351	4911
"1914"	5162	3614	10008
"1915"	12479	1951	13702
"1916"	15457	195	2920
"1917"	3391	12866	16980
"1918"	15457	195	7994
"1919"	2546	9408	8989
"1920"	9626	13745	8756
"1921"	7966	1504	10949
"1922"	14610	13230	16960
"1923"	8631	7419	14339
"1924"	10542	4344	10544
"1925"	13245	15736	7243
"1926"	12054	9812	6016
"1927"	2572	12240	13650
"1928"	11269	15618	14545
"1929"	2477	14496	14252
"1930"	962	4604	12479
"1931"	8543	11830	11074
"1932"	8592	1792	13905
"1933"	11311	6687	1408
"1934"	2072	16076	8945
"1935"	14088	508	5292
"1936"	551	10542	4344
"1937"	1856	4615	16023
"1938"	889	1927	3656
"1939"	184	10696	13444
"1940"	1818	10899	456
"1941"	2831	3935	2051
"1942"	7735	1818	14984
"1943"	14984	9934	2584
"1944"	15676	9276	14566
"1945"	13172	13722	720
"1946"	13722	13172	720
"1947"	9654	4456	9768
"1948"	11961	8312	1116
"1949"	6917	1340	1210
"1950"	10166	3521	14984
"1951"	14984	9934	9844
"1952"	16086	11145	11247
"1953"	12416	10168	10038
"1954"	16141	14246	16193
"1955"	12416	10984	16690
"1956"	14633	13732	15123
"1957"	14166	7766	5000
"1958"	1949	13444	5762
"1959"	14633	15123	13732
"1960"	14088	508	9456
"1961"	15457	9616	2899
"1962"	2126	9446	4699
"1963"	15473	12478	14001
"1964"	11541	12692	9042
"1965"	5034	7329	3676
"1966"	9626	13745	16141
"1967"	12478	14984	8707
"1968"	3429	6322	16185
"1969"	11933	7301	3027
"1970"	10542	4344	7309
"1971"	11918	4858	1825
"1972"	16046	5305	823
"1973"	16068	14982	1743
"1974"	14984	9934	1818
"1975"	7222	4589	4092
"1976"	2572	12240	13650
"1977"	1748	14918	9818
"1978"	5416	4561	11175
"1979"	1999	6684	6691
"1980"	184	10696	8280
"1981"	5439	6117	5706
"1982"	14984	1091	9934
"1983"	9015	1004	2010
"1984"	11756	719	2188
"1985"	8543	11830	11330
"1986"	1748	589	9887
"1987"	12479	6291	13702
"1988"	5046	6662	5486
"1989"	12446	12315	14984
"1990"	10050	2376	11888
"1991"	404	4639	4611
"1992"	13382	15366	12479
"1993"	14984	9934	9844
"1994"	4694	7159	7070
"1995"	13460	16962	10642
"1996"	184	10696	13288
"1997"	10551	16079	15068
"1998"	5162	9142	3614
"1999"	9608	10379	14171
"2000"	7222	4092	10870
"2001"	2293	4984	7363
"2002"	12984	2084	8758
"2003"	1746	2446	7363
"2004"	184	10696	13444
"2005"	2126	5268	4699
"2006"	11081	7343	799
"2007"	719	11756	2188
"2008"	15473	10771	1089
"2009"	1951	4973	1764
"2010"	13245	15736	14166
"2011"	2126	9446	4699
"2012"	9178	1722	6614
"2013"	10050	15073	11888
"2014"	16599	10339	11368
"2015"	4161	9142	9101
"2016"	11265	7291	11275
"2017"	9608	10379	8916
"2018"	1221	2782	4456
"2019"	5691	2264	2483
"2020"	9015	6855	12270
"2021"	14982	16068	14430
"2022"	14822	9278	5385
"2023"	2584	1682	7050
"2024"	1818	10899	13137
"2025"	11604	2991	1792
"2026"	13382	15366	12479
"2027"	14984	9934	4308
"2028"	7492	7497	3586
"2029"	685	4307	3592
"2030"	1999	10641	6679
"2031"	1748	14918	9015
"2032"	4351	10720	3022
"2033"	800	11081	799
"2034"	1949	1927	889
"2035"	14166	11418	13884
"2036"	16076	10413	10021
"2037"	14698	14285	2504
"2038"	823	2279	2278
"2039"	1435	10679	9028
"2040"	5000	7766	8823
"2041"	7822	3228	4108
"2042"	14633	13732	15123
"2043"	13382	13654	13703
"2044"	14166	11418	8903
"2045"	13288	4117	15584
"2046"	14633	13732	15123
"2047"	14984	9934	9844
"2048"	13460	14383	10642
"2049"	7766	5000	8823
"2050"	1116	12121	14590
"2051"	2758	9021	8213
"2052"	5	671	691
"2053"	11756	7117	719
"2054"	12619	8836	3743
"2055"	13680	787	8318
"2056"	1632	1674	1589
"2057"	551	14633	98
"2058"	13382	15366	13654
"2059"	10166	3521	14496
"2060"	11961	8312	5006
"2061"	9570	3553	2021
"2062"	14984	9934	28
"2063"	16494	14717	16504
"2064"	14610	16166	6875
"2065"	16046	823	4984
"2066"	1013	9552	6843
"2067"	9654	4456	9768
"2068"	5874	9654	4456
"2069"	5	671	691
"2070"	13061	5081	1875
"2071"	11756	719	2188
"2072"	9570	3553	2021
"2073"	1617	14984	24
"2074"	1402	7363	6295
"2075"	1204	10166	3521
"2076"	10985	16817	14984
"2077"	5	28	671
"2078"	15805	14018	16024
"2079"	2572	12240	13650
"2080"	9654	9768	4456
"2081"	508	14088	3178
"2082"	9570	3553	9941
"2083"	16852	14182	16059
"2084"	642	1390	3024
"2085"	989	10184	8199
"2086"	12478	8707	1503
"2087"	12489	14018	15805
"2088"	9169	2093	1499
"2089"	14984	10050	15073
"2090"	2546	9408	8989
"2091"	1748	14918	9818
"2092"	16079	10531	10551
"2093"	13382	15366	13654
"2094"	14982	16068	14430
"2095"	16076	10413	16494
"2096"	14480	13926	9642
"2097"	3391	12866	10985
"2098"	7314	2720	12205
"2099"	13172	720	3037
"2100"	9178	6614	1722
"2101"	14633	13732	15123
"2102"	14610	16166	6875
"2103"	4911	3089	4351
"2104"	2715	11833	8234
"2105"	13288	15584	4894
"2106"	6433	1650	1558
"2107"	12619	3743	8836
"2108"	13254	10971	2831
"2109"	14166	8561	11502
"2110"	4775	8161	2222
"2111"	14984	9934	768
"2112"	14018	16024	13872
"2113"	15	1201	29
"2114"	14004	1046	441
